Name,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Car Body Style,highway MPG,city MPG
GMC SAFARI CARGO,GMC,Safari Cargo,2003,regular unleaded,190,6,Automatic,AllWheelDrive,3,N/A,Cargo Minivan,18,14
GMC SAVANA,GMC,Savana,2014,flex-fuel (unleaded/E85),310,8,Automatic,RearWheelDrive,3,Flex Fuel,Passenger Van,17,13
GMC SAVANA CARGO,GMC,Savana Cargo,2014,flex-fuel (unleaded/E85),285,8,Automatic,RearWheelDrive,3,Flex Fuel,Cargo Van,17,11
GMC SIERRA 1500,GMC,Sierra 1500,2015,regular unleaded,355,8,Automatic,RearWheelDrive,4,N/A,Crew Cab Pickup,23,16
GMC SIERRA 1500 CLASSIC,GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295,8,Automatic,RearWheelDrive,4,Flex Fuel,Crew Cab Pickup,19,14
GMC SIERRA 1500 HYBRID,GMC,Sierra 1500 Hybrid,2011,regular unleaded,332,8,Automatic,RearWheelDrive,4,Hybrid,Crew Cab Pickup,23,20
GMC SIERRA 1500HD,GMC,Sierra 1500HD,2006,regular unleaded,300,8,Automatic,four wheel drive,4,N/A,Crew Cab Pickup,16,13
GMC SIERRA C3,GMC,Sierra C3,2001,regular unleaded,325,8,Automatic,AllWheelDrive,4,N/A,Extended Cab Pickup,13,10
GMC SIERRA CLASSIC 1500,GMC,Sierra Classic 1500,1999,regular unleaded,200,8,Automatic,RearWheelDrive,3,N/A,Extended Cab Pickup,17,13
GMC SONOMA,GMC,Sonoma,2002,regular unleaded,190,6,Automatic,RearWheelDrive,2,Flex Fuel,Regular Cab Pickup,20,15
GMC SUBURBAN,GMC,Suburban,1997,regular unleaded,255,8,Automatic,RearWheelDrive,4,N/A,SUV,17,12
GMC SYCLONE,GMC,Syclone,1991,regular unleaded,280,6,Automatic,AllWheelDrive,2,"Factory Tuner,Performance",Regular Cab Pickup,16,13
GMC TERRAIN,GMC,Terrain,2015,regular unleaded,182,4,Automatic,FrontWheelDrive,4,Crossover,SUV,32,22
GMC TYPHOON,GMC,Typhoon,1992,regular unleaded,285,6,Automatic,AllWheelDrive,2,"Factory Tuner,Performance",SUV,17,14
GMC VANDURA,GMC,Vandura,1994,regular unleaded,200,6,Automatic,RearWheelDrive,3,N/A,Cargo Van,20,15
GMC YUKON,GMC,Yukon,2015,flex-fuel (unleaded/E85),355,8,Automatic,four wheel drive,4,Flex Fuel,SUV,22,16
GMC YUKON DENALI,GMC,Yukon Denali,2000,regular unleaded,255,8,Automatic,four wheel drive,4,Luxury,SUV,15,11
GMC YUKON HYBRID,GMC,Yukon Hybrid,2011,regular unleaded,332,8,Automatic,four wheel drive,4,"Luxury,Hybrid",SUV,23,20
GMC YUKON XL,GMC,Yukon XL,2015,flex-fuel (unleaded/E85),355,8,Automatic,four wheel drive,4,Flex Fuel,SUV,22,15
HONDA ACCORD,HONDA,Accord,2015,regular unleaded,278,6,Manual,FrontWheelDrive,2,Performance,Coupe,28,18
HONDA ACCORD CROSSTOUR,HONDA,Accord Crosstour,2010,regular unleaded,271,6,Automatic,AllWheelDrive,4,"Crossover,Hatchback",Hatchback,25,17
HONDA ACCORD HYBRID,HONDA,Accord Hybrid,2014,regular unleaded,195,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,45,50
HONDA ACCORD PLUG-IN HYBRID,HONDA,Accord Plug-In Hybrid,2014,regular unleaded,196,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,46,47
HONDA CIVIC,HONDA,Civic,2015,regular unleaded,143,4,Automatic,FrontWheelDrive,4,N/A,Sedan,39,30
HONDA CIVIC CRX,HONDA,Civic CRX,1990,regular unleaded,62,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,44,36
HONDA CIVIC DEL SOL,HONDA,Civic del Sol,1995,regular unleaded,102,4,Manual,FrontWheelDrive,2,N/A,Coupe,37,30
HONDA CROSSTOUR,HONDA,Crosstour,2013,regular unleaded,278,6,Automatic,FrontWheelDrive,4,"Crossover,Hatchback",Hatchback,30,20
HONDA CR-V,HONDA,CR-V,2014,regular unleaded,185,4,Automatic,AllWheelDrive,4,Crossover,SUV,30,22
HONDA CR-Z,HONDA,CR-Z,2014,regular unleaded,130,4,Automatic,FrontWheelDrive,2,"Hatchback,Hybrid",Hatchback,39,36
HONDA ELEMENT,HONDA,Element,2009,regular unleaded,166,4,Manual,AllWheelDrive,4,Crossover,SUV,23,18
HONDA FIT,HONDA,Fit,2015,regular unleaded,130,4,Manual,FrontWheelDrive,4,Hatchback,Hatchback,37,29
HONDA FIT EV,HONDA,Fit EV,2013,electric,,0,Direct_Drive,FrontWheelDrive,4,Hatchback,Hatchback,105,132
HONDA HR-V,HONDA,HR-V,2016,regular unleaded,141,4,Automatic,FrontWheelDrive,4,Crossover,SUV,35,28
HONDA INSIGHT,HONDA,Insight,2012,regular unleaded,98,4,Automatic,FrontWheelDrive,4,"Hatchback,Hybrid",Hatchback,44,41
HONDA ODYSSEY,HONDA,Odyssey,2015,regular unleaded,248,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,28,19
HONDA PASSPORT,HONDA,Passport,2000,regular unleaded,205,6,Manual,RearWheelDrive,4,N/A,SUV,18,15
HONDA PILOT,HONDA,Pilot,2015,regular unleaded,250,6,Automatic,four wheel drive,4,Crossover,SUV,24,17
HONDA PRELUDE,HONDA,Prelude,1999,regular unleaded,200,4,Manual,FrontWheelDrive,2,Performance,Coupe,24,20
HONDA RIDGELINE,HONDA,Ridgeline,2013,regular unleaded,250,6,Automatic,four wheel drive,4,N/A,Crew Cab Pickup,21,15
HONDA S2000,HONDA,S2000,2007,premium unleaded (required),237,4,Manual,RearWheelDrive,2,Performance,Convertible,24,18
HUMMER H3,HUMMER,H3,2008,regular unleaded,242,5,Manual,four wheel drive,4,Luxury,SUV,18,13
HUMMER H3T,HUMMER,H3T,2009,regular unleaded,239,5,Manual,four wheel drive,4,"Crossover,Luxury",Crew Cab Pickup,18,14
HYUNDAI ACCENT,HYUNDAI,Accent,2014,regular unleaded,138,4,Automatic,FrontWheelDrive,4,Hatchback,Hatchback,37,27
HYUNDAI AZERA,HYUNDAI,Azera,2015,regular unleaded,293,6,Automatic,FrontWheelDrive,4,Performance,Sedan,28,19
HYUNDAI ELANTRA,HYUNDAI,Elantra,2015,regular unleaded,173,4,Automatic,FrontWheelDrive,4,N/A,Sedan,35,24
HYUNDAI ELANTRA COUPE,HYUNDAI,Elantra Coupe,2013,regular unleaded,145,4,Automatic,FrontWheelDrive,2,N/A,Coupe,37,27
HYUNDAI ELANTRA GT,HYUNDAI,Elantra GT,2015,regular unleaded,173,4,Automatic,FrontWheelDrive,4,"Hatchback,Performance",Hatchback,33,24
HYUNDAI ELANTRA TOURING,HYUNDAI,Elantra Touring,2010,regular unleaded,138,4,Automatic,FrontWheelDrive,4,Hatchback,Hatchback,30,23
HYUNDAI ENTOURAGE,HYUNDAI,Entourage,2007,regular unleaded,242,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,23,16
HYUNDAI EQUUS,HYUNDAI,Equus,2014,premium unleaded (recommended),429,8,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,23,15
HYUNDAI EXCEL,HYUNDAI,Excel,1992,regular unleaded,81,4,Manual,FrontWheelDrive,2,Hatchback,Hatchback,33,25
HYUNDAI GENESIS,HYUNDAI,Genesis,2014,regular unleaded,333,6,Automatic,RearWheelDrive,4,Luxury,Sedan,27,18
HYUNDAI GENESIS COUPE,HYUNDAI,Genesis Coupe,2014,premium unleaded (recommended),348,6,Manual,RearWheelDrive,2,High-Performance,Coupe,24,16
HYUNDAI SANTA FE,HYUNDAI,Santa Fe,2015,regular unleaded,290,6,Automatic,FrontWheelDrive,4,Crossover,SUV,25,18
HYUNDAI SANTA FE SPORT,HYUNDAI,Santa Fe Sport,2015,regular unleaded,264,4,Automatic,AllWheelDrive,4,Crossover,SUV,24,18
HYUNDAI SCOUPE,HYUNDAI,Scoupe,1993,regular unleaded,92,4,Manual,FrontWheelDrive,2,N/A,Coupe,32,23
HYUNDAI SONATA,HYUNDAI,Sonata,2015,regular unleaded,185,4,Automatic,FrontWheelDrive,4,N/A,Sedan,35,24
HYUNDAI SONATA HYBRID,HYUNDAI,Sonata Hybrid,2015,regular unleaded,199,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,40,36
HYUNDAI TIBURON,HYUNDAI,Tiburon,2006,regular unleaded,138,4,Automatic,FrontWheelDrive,2,Hatchback,Hatchback,27,19
HYUNDAI TUCSON,HYUNDAI,Tucson,2015,regular unleaded,182,4,Automatic,FrontWheelDrive,4,Crossover,SUV,28,21
HYUNDAI VELOSTER,HYUNDAI,Veloster,2014,regular unleaded,201,4,Automatic,FrontWheelDrive,3,"Hatchback,Performance",Hatchback,31,24
HYUNDAI VERACRUZ,HYUNDAI,Veracruz,2010,regular unleaded,260,6,Automatic,AllWheelDrive,4,Crossover,SUV,22,16
HYUNDAI XG300,HYUNDAI,XG300,2001,regular unleaded,192,6,Automatic,FrontWheelDrive,4,N/A,Sedan,25,17
HYUNDAI XG350,HYUNDAI,XG350,2003,regular unleaded,194,6,Automatic,FrontWheelDrive,4,N/A,Sedan,24,15
INFINITI EX,INFINITI,EX,2011,premium unleaded (recommended),297,6,Automatic,RearWheelDrive,4,"Crossover,Luxury",SUV,24,17
INFINITI EX35,INFINITI,EX35,2008,premium unleaded (recommended),297,6,Automatic,RearWheelDrive,4,"Crossover,Luxury",SUV,24,17
INFINITI FX,INFINITI,FX,2011,premium unleaded (required),303,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,21,16
INFINITI FX35,INFINITI,FX35,2008,premium unleaded (required),275,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,20,15
INFINITI FX45,INFINITI,FX45,2006,premium unleaded (required),320,8,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,17,13
INFINITI FX50,INFINITI,FX50,2009,premium unleaded (required),390,8,Automatic,AllWheelDrive,4,"Crossover,Luxury,High-Performance",SUV,20,14
INFINITI G CONVERTIBLE,INFINITI,G Convertible,2011,premium unleaded (required),325,6,Manual,RearWheelDrive,2,"Luxury,Performance",Convertible,24,16
INFINITI G COUPE,INFINITI,G Coupe,2011,premium unleaded (recommended),330,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,27,19
INFINITI G SEDAN,INFINITI,G Sedan,2011,premium unleaded (recommended),328,6,Automatic,AllWheelDrive,4,Luxury,Sedan,25,18
INFINITI G20,INFINITI,G20,2000,regular unleaded,145,4,Manual,FrontWheelDrive,4,Luxury,Sedan,29,21
INFINITI G35,INFINITI,G35,2006,regular unleaded,280,6,Automatic,AllWheelDrive,4,Luxury,Sedan,22,16
INFINITI G37,INFINITI,G37,2008,premium unleaded (required),330,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,24,18
INFINITI G37 CONVERTIBLE,INFINITI,G37 Convertible,2010,premium unleaded (required),325,6,Manual,RearWheelDrive,2,"Luxury,Performance",Convertible,24,16
INFINITI G37 COUPE,INFINITI,G37 Coupe,2010,premium unleaded (recommended),330,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,27,19
INFINITI G37 SEDAN,INFINITI,G37 Sedan,2010,premium unleaded (recommended),328,6,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,27,19
INFINITI I30,INFINITI,I30,1999,regular unleaded,190,6,Automatic,FrontWheelDrive,4,Luxury,Sedan,25,18
INFINITI I35,INFINITI,I35,2002,premium unleaded (required),255,6,Automatic,FrontWheelDrive,4,"Luxury,Performance",Sedan,24,17
INFINITI J30,INFINITI,J30,1995,regular unleaded,210,6,Automatic,RearWheelDrive,4,Luxury,Sedan,22,16
INFINITI JX,INFINITI,JX,2013,premium unleaded (recommended),265,6,Automatic,FrontWheelDrive,4,"Crossover,Luxury",SUV,24,18
INFINITI M,INFINITI,M,2012,premium unleaded (required),330,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,24,17
INFINITI M30,INFINITI,M30,1990,regular unleaded,162,6,Automatic,RearWheelDrive,2,Luxury,Coupe,23,17
INFINITI M35,INFINITI,M35,2008,premium unleaded (required),275,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,23,16
INFINITI M37,INFINITI,M37,2011,premium unleaded (recommended),330,6,Automatic,AllWheelDrive,4,Luxury,Sedan,24,17
INFINITI M45,INFINITI,M45,2008,premium unleaded (required),325,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,21,16
INFINITI M56,INFINITI,M56,2011,premium unleaded (required),420,8,Automatic,AllWheelDrive,4,Luxury,Sedan,23,16
INFINITI Q40,INFINITI,Q40,2015,premium unleaded (required),328,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,27,19
INFINITI Q45,INFINITI,Q45,2004,regular unleaded,340,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,22,16
INFINITI Q50,INFINITI,Q50,2015,premium unleaded (recommended),328,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,27,19
INFINITI Q60 CONVERTIBLE,INFINITI,Q60 Convertible,2014,premium unleaded (recommended),325,6,Manual,RearWheelDrive,2,"Luxury,Performance",Convertible,24,16
INFINITI Q60 COUPE,INFINITI,Q60 Coupe,2014,premium unleaded (required),348,6,Manual,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,25,17
INFINITI Q70,INFINITI,Q70,2014,premium unleaded (required),330,6,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,24,17
INFINITI QX,INFINITI,QX,2012,premium unleaded (recommended),400,8,Automatic,RearWheelDrive,4,Luxury,SUV,20,14
INFINITI QX4,INFINITI,QX4,2001,premium unleaded (required),240,6,Automatic,RearWheelDrive,4,Luxury,SUV,18,14
INFINITI QX50,INFINITI,QX50,2015,premium unleaded (recommended),325,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,24,17
INFINITI QX56,INFINITI,QX56,2009,premium unleaded (recommended),320,8,Automatic,four wheel drive,4,Luxury,SUV,17,12
INFINITI QX60,INFINITI,QX60,2015,premium unleaded (recommended),230,4,Automatic,FrontWheelDrive,4,"Crossover,Luxury,Hybrid",SUV,28,26
INFINITI QX70,INFINITI,QX70,2015,premium unleaded (required),325,6,Automatic,RearWheelDrive,4,"Crossover,Luxury,Performance",SUV,24,17
INFINITI QX80,INFINITI,QX80,2014,premium unleaded (recommended),400,8,Automatic,RearWheelDrive,4,Luxury,SUV,20,14
KIA AMANTI,KIA,Amanti,2007,regular unleaded,264,6,Automatic,FrontWheelDrive,4,N/A,Sedan,24,17
KIA BORREGO,KIA,Borrego,2009,regular unleaded,337,8,Automatic,RearWheelDrive,4,N/A,SUV,22,15
KIA CADENZA,KIA,Cadenza,2015,regular unleaded,293,6,Automatic,FrontWheelDrive,4,Performance,Sedan,28,19
KIA FORTE,KIA,Forte,2015,regular unleaded,173,4,Automatic,FrontWheelDrive,2,N/A,Coupe,34,25
KIA K900,KIA,K900,2015,premium unleaded (recommended),420,8,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,23,15
KIA OPTIMA,KIA,Optima,2014,regular unleaded,199,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,40,36
KIA OPTIMA HYBRID,KIA,Optima Hybrid,2015,regular unleaded,199,4,Automatic,FrontWheelDrive,4,Hybrid,Sedan,39,35
KIA RIO,KIA,Rio,2015,regular unleaded,138,4,Automatic,FrontWheelDrive,4,N/A,Sedan,37,27
KIA RONDO,KIA,Rondo,2007,regular unleaded,162,4,Automatic,FrontWheelDrive,4,N/A,Wagon,26,19
KIA SEDONA,KIA,Sedona,2015,regular unleaded,276,6,Automatic,FrontWheelDrive,4,N/A,Passenger Minivan,25,18
KIA SEPHIA,KIA,Sephia,1999,regular unleaded,125,4,Manual,FrontWheelDrive,4,N/A,Sedan,28,21
KIA SORENTO,KIA,Sorento,2015,regular unleaded,290,6,Automatic,AllWheelDrive,4,Crossover,SUV,24,18
KIA SOUL,KIA,Soul,2014,regular unleaded,130,4,Automatic,FrontWheelDrive,4,N/A,Wagon,30,24
KIA SOUL EV,KIA,Soul EV,2015,electric,,0,Direct_Drive,FrontWheelDrive,4,N/A,Wagon,92,120
KIA SPECTRA,KIA,Spectra,2007,regular unleaded,138,4,Manual,FrontWheelDrive,4,N/A,Sedan,30,23
KIA SPORTAGE,KIA,Sportage,2015,regular unleaded,182,4,Automatic,FrontWheelDrive,4,Crossover,SUV,28,21
LAMBORGHINI AVENTADOR,LAMBORGHINI,Aventador,2014,premium unleaded (required),700,12,Automated_Manual,AllWheelDrive,2,"Exotic,High-Performance",Convertible,16,10
LAMBORGHINI DIABLO,LAMBORGHINI,Diablo,2001,premium unleaded (required),550,12,Manual,AllWheelDrive,2,"Exotic,High-Performance",Coupe,12,9
LAMBORGHINI GALLARDO,LAMBORGHINI,Gallardo,2012,premium unleaded (required),570,10,Manual,AllWheelDrive,2,"Exotic,Factory Tuner,High-Performance",Convertible,20,12
LAMBORGHINI HURACAN,LAMBORGHINI,Huracan,2015,premium unleaded (required),610,10,Automated_Manual,AllWheelDrive,2,"Exotic,High-Performance",Coupe,20,14
LAMBORGHINI MURCIELAGO,LAMBORGHINI,Murcielago,2008,premium unleaded (required),632,12,Manual,AllWheelDrive,2,"Exotic,High-Performance",Coupe,13,8
LAMBORGHINI REVENTON,LAMBORGHINI,Reventon,2008,premium unleaded (required),650,12,Automated_Manual,AllWheelDrive,2,"Exotic,High-Performance",Coupe,14,9
LAND ROVER DEFENDER,LAND ROVER,Defender,1994,regular unleaded,182,8,Manual,four wheel drive,2,Luxury,SUV,15,12
LAND ROVER DISCOVERY,LAND ROVER,Discovery,2003,premium unleaded (required),217,8,Automatic,four wheel drive,4,Luxury,SUV,14,11
LAND ROVER DISCOVERY SERIES II,LAND ROVER,Discovery Series II,2000,regular unleaded,188,8,Automatic,AllWheelDrive,4,Luxury,SUV,16,12
LAND ROVER DISCOVERY SPORT,LAND ROVER,Discovery Sport,2015,premium unleaded (recommended),240,4,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,26,20
LAND ROVER FREELANDER,LAND ROVER,Freelander,2003,regular unleaded,174,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,19,15
LAND ROVER LR2,LAND ROVER,LR2,2013,premium unleaded (recommended),240,4,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,24,17
LAND ROVER LR3,LAND ROVER,LR3,2008,premium unleaded (required),300,8,Automatic,four wheel drive,4,Luxury,SUV,17,12
LAND ROVER LR4,LAND ROVER,LR4,2014,premium unleaded (required),340,6,Automatic,four wheel drive,4,Luxury,SUV,19,14
LAND ROVER RANGE ROVER,LAND ROVER,Range Rover,2014,flex-fuel (premium unleaded required/E85),510,8,Automatic,four wheel drive,4,"Flex Fuel,Luxury,High-Performance",SUV,19,13
LAND ROVER RANGE ROVER EVOQUE,LAND ROVER,Range Rover Evoque,2015,premium unleaded (recommended),240,4,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,30,21
LAND ROVER RANGE ROVER SPORT,LAND ROVER,Range Rover Sport,2014,flex-fuel (premium unleaded required/E85),510,8,Automatic,four wheel drive,4,"Flex Fuel,Luxury,High-Performance",SUV,19,14
LEXUS CT 200H,LEXUS,CT 200h,2015,regular unleaded,134,4,Automatic,FrontWheelDrive,4,"Hatchback,Luxury,Hybrid",Hatchback,40,43
LEXUS ES 250,LEXUS,ES 250,1990,regular unleaded,156,6,Manual,FrontWheelDrive,4,Luxury,Sedan,24,17
LEXUS ES 300,LEXUS,ES 300,2001,premium unleaded (required),210,6,Automatic,FrontWheelDrive,4,Luxury,Sedan,24,17
LEXUS ES 300H,LEXUS,ES 300h,2015,regular unleaded,200,4,Automatic,FrontWheelDrive,4,"Luxury,Hybrid",Sedan,39,40
LEXUS ES 330,LEXUS,ES 330,2004,regular unleaded,225,6,Automatic,FrontWheelDrive,4,Luxury,Sedan,27,18
LEXUS ES 350,LEXUS,ES 350,2015,regular unleaded,268,6,Automatic,FrontWheelDrive,4,"Luxury,Performance",Sedan,31,21
LEXUS GS 200T,LEXUS,GS 200t,2016,premium unleaded (required),241,4,Automatic,RearWheelDrive,4,Luxury,Sedan,30,21
LEXUS GS 300,LEXUS,GS 300,2004,premium unleaded (required),220,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,23,16
LEXUS GS 350,LEXUS,GS 350,2015,premium unleaded (required),306,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,29,19
LEXUS GS 400,LEXUS,GS 400,1998,regular unleaded,300,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,21,15
LEXUS GS 430,LEXUS,GS 430,2005,premium unleaded (required),300,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,22,16
LEXUS GS 450H,LEXUS,GS 450h,2014,premium unleaded (required),338,6,Automatic,RearWheelDrive,4,"Luxury,Performance,Hybrid",Sedan,34,29
LEXUS GS 460,LEXUS,GS 460,2009,premium unleaded (required),342,8,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,24,17
LEXUS GS F,LEXUS,GS F,2016,premium unleaded (required),467,8,Automatic,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,24,16
LEXUS GX 460,LEXUS,GX 460,2015,premium unleaded (required),301,8,Automatic,four wheel drive,4,Luxury,SUV,20,15
LEXUS GX 470,LEXUS,GX 470,2007,regular unleaded,263,8,Automatic,four wheel drive,4,Luxury,SUV,18,14
LEXUS HS 250H,LEXUS,HS 250h,2010,regular unleaded,187,4,Automatic,FrontWheelDrive,4,"Luxury,Hybrid",Sedan,34,35
LEXUS IS 200T,LEXUS,IS 200t,2016,premium unleaded (required),241,4,Automatic,RearWheelDrive,4,Luxury,Sedan,33,22
LEXUS IS 250,LEXUS,IS 250,2013,premium unleaded (required),204,6,Automatic,RearWheelDrive,4,Luxury,Sedan,30,21
LEXUS IS 250 C,LEXUS,IS 250 C,2013,premium unleaded (required),204,6,Automatic,RearWheelDrive,2,Luxury,Convertible,30,21
LEXUS IS 300,LEXUS,IS 300,2005,premium unleaded (required),215,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Wagon,23,16
LEXUS IS 350,LEXUS,IS 350,2014,premium unleaded (required),306,6,Automatic,RearWheelDrive,4,"Luxury,High-Performance",Sedan,28,19
LEXUS IS 350 C,LEXUS,IS 350 C,2013,premium unleaded (required),306,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Convertible,27,19
LEXUS IS F,LEXUS,IS F,2012,premium unleaded (required),416,8,Automatic,RearWheelDrive,4,"Factory Tuner,Luxury,High-Performance",Sedan,23,16
LEXUS LFA,LEXUS,LFA,2012,premium unleaded (required),552,10,Automated_Manual,RearWheelDrive,2,"Exotic,Luxury,High-Performance",Coupe,16,11
LEXUS LS 400,LEXUS,LS 400,1998,regular unleaded,290,8,Automatic,RearWheelDrive,4,Luxury,Sedan,23,17
LEXUS LS 430,LEXUS,LS 430,2004,premium unleaded (required),290,8,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,23,16
LEXUS LS 460,LEXUS,LS 460,2015,premium unleaded (required),360,8,Automatic,AllWheelDrive,4,"Luxury,Performance",Sedan,23,16
LEXUS LS 600H L,LEXUS,LS 600h L,2014,premium unleaded (required),438,8,Automatic,AllWheelDrive,4,"Luxury,High-Performance,Hybrid",Sedan,23,19
LEXUS LX 450,LEXUS,LX 450,1996,regular unleaded,212,6,Automatic,four wheel drive,4,Luxury,SUV,14,12
LEXUS LX 470,LEXUS,LX 470,2005,regular unleaded,235,8,Automatic,four wheel drive,4,Luxury,SUV,16,12
LEXUS LX 570,LEXUS,LX 570,2015,premium unleaded (recommended),383,8,Automatic,four wheel drive,4,Luxury,SUV,17,12
LEXUS NX 200T,LEXUS,NX 200t,2015,premium unleaded (required),235,4,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,28,21
LEXUS NX 300H,LEXUS,NX 300h,2015,regular unleaded,194,4,Automatic,FrontWheelDrive,4,"Crossover,Luxury,Hybrid",SUV,31,35
LEXUS RC 200T,LEXUS,RC 200t,2016,premium unleaded (required),241,4,Automatic,RearWheelDrive,2,Luxury,Coupe,32,22
LEXUS RC 300,LEXUS,RC 300,2016,premium unleaded (required),255,6,Automatic,AllWheelDrive,2,Luxury,Coupe,26,19
LEXUS RC 350,LEXUS,RC 350,2015,premium unleaded (required),306,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,28,19
LEXUS RC F,LEXUS,RC F,2015,premium unleaded (required),467,8,Automatic,RearWheelDrive,2,"Factory Tuner,Luxury,High-Performance",Coupe,25,16
LEXUS RX 300,LEXUS,RX 300,2001,premium unleaded (required),220,6,Automatic,FrontWheelDrive,4,"Crossover,Luxury",SUV,21,17
LEXUS RX 330,LEXUS,RX 330,2004,regular unleaded,230,6,Automatic,FrontWheelDrive,4,"Crossover,Luxury,Performance",SUV,24,17
LEXUS RX 350,LEXUS,RX 350,2015,regular unleaded,270,6,Automatic,FrontWheelDrive,4,"Crossover,Luxury",SUV,25,18
LEXUS RX 400H,LEXUS,RX 400h,2006,regular unleaded,268,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Hybrid",SUV,25,27
LEXUS RX 450H,LEXUS,RX 450h,2015,premium unleaded (required),295,6,Automatic,FrontWheelDrive,4,"Crossover,Luxury,Hybrid",SUV,28,32
LEXUS SC 300,LEXUS,SC 300,1998,regular unleaded,225,6,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,22,17
LEXUS SC 400,LEXUS,SC 400,1998,regular unleaded,290,8,Automatic,RearWheelDrive,2,"Luxury,Performance",Coupe,23,17
LEXUS SC 430,LEXUS,SC 430,2008,premium unleaded (required),288,8,Automatic,RearWheelDrive,2,"Luxury,Performance",Convertible,23,16
LINCOLN AVIATOR,LINCOLN,Aviator,2003,premium unleaded (required),302,8,Automatic,AllWheelDrive,4,Luxury,SUV,17,12
LINCOLN BLACKWOOD,LINCOLN,Blackwood,2002,premium unleaded (required),300,8,Automatic,RearWheelDrive,4,Luxury,Crew Cab Pickup,15,11
LINCOLN CONTINENTAL,LINCOLN,Continental,2001,regular unleaded,275,8,Automatic,FrontWheelDrive,4,Luxury,Sedan,23,15
LINCOLN LS,LINCOLN,LS,2004,premium unleaded (required),232,6,Automatic,RearWheelDrive,4,"Luxury,Performance",Sedan,24,17
LINCOLN MARK LT,LINCOLN,Mark LT,2006,regular unleaded,300,8,Automatic,RearWheelDrive,4,Luxury,Crew Cab Pickup,18,13
LINCOLN MARK VII,LINCOLN,Mark VII,1990,regular unleaded,225,8,Automatic,RearWheelDrive,2,Luxury,Coupe,22,15
LINCOLN MARK VIII,LINCOLN,Mark VIII,1996,regular unleaded,280,8,Automatic,RearWheelDrive,2,Luxury,Coupe,24,16
LINCOLN MKC,LINCOLN,MKC,2015,regular unleaded,240,4,Automatic,FrontWheelDrive,4,"Crossover,Luxury",SUV,29,20
LINCOLN MKS,LINCOLN,MKS,2014,regular unleaded,304,6,Automatic,FrontWheelDrive,4,"Luxury,Performance",Sedan,28,19
LINCOLN MKT,LINCOLN,MKT,2015,premium unleaded (recommended),365,6,Automatic,AllWheelDrive,4,"Crossover,Luxury,Performance",Wagon,23,16
LINCOLN MKX,LINCOLN,MKX,2015,regular unleaded,305,6,Automatic,AllWheelDrive,4,"Crossover,Luxury",SUV,23,17
LINCOLN MKZ,LINCOLN,MKZ,2015,regular unleaded,231,4,Automatic,FrontWheelDrive,4,Luxury,Sedan,33,22
