Name,Name,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
JEEP GRAND CHEROKEE 4X4 DIESEL,Jeep GRAND CHEROKEE 4X4 DIESEL,JEEP,GRAND CHEROKEE 4X4 DIESEL,SUV - STANDARD,3,6,A8,D,11.2,8.4,9.9,29,267
JEEP GRAND CHEROKEE 4X4 FFV,Jeep GRAND CHEROKEE 4X4 FFV,JEEP,GRAND CHEROKEE 4X4 FFV,SUV - STANDARD,3.6,6,A8,X,13.9,9.8,12.1,23,278
JEEP GRAND CHEROKEE SRT 4X4 (MDS),Jeep GRAND CHEROKEE SRT 4X4 (MDS),JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8,A8,Z,18.5,12.6,15.8,18,363
JEEP PATRIOT,Jeep PATRIOT,JEEP,PATRIOT,SUV - SMALL,2,4,AV,X,10.7,8.8,9.9,29,228
JEEP PATRIOT 4X4,Jeep PATRIOT 4X4,JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,A6,X,11.4,8.7,10.2,28,235
JEEP PATRIOT 4X4 TRAIL RATED,Jeep PATRIOT 4X4 TRAIL RATED,JEEP,PATRIOT 4X4 TRAIL RATED,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,255
JEEP WRANGLER 4X4 (2-DOOR),Jeep WRANGLER 4X4 (2-DOOR),JEEP,WRANGLER 4X4 (2-DOOR),SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22,294
JEEP WRANGLER UNLIMITED 4X4 (4-DOOR),Jeep WRANGLER UNLIMITED 4X4 (4-DOOR),JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),SUV - SMALL,3.6,6,A5,X,14.8,11.7,13.4,21,308
KIA CADENZA,Kia CADENZA,KIA,CADENZA,FULL-SIZE,3.3,6,A6,X,12.7,8.8,10.9,26,251
KIA FORTE,Kia FORTE,KIA,FORTE,MID-SIZE,1.8,4,A6,X,9.6,6.6,8.3,34,191
KIA FORTE 5,Kia FORTE 5,KIA,FORTE 5,FULL-SIZE,1.6,4,A6,X,11.1,8,9.7,29,223
KIA FORTE KOUP,Kia FORTE KOUP,KIA,FORTE KOUP,COMPACT,1.6,4,A6,X,10.6,7.9,9.4,30,216
KIA OPTIMA,Kia OPTIMA,KIA,OPTIMA,MID-SIZE,2,4,A6,X,11.7,7.6,9.9,29,228
KIA OPTIMA HYBRID,Kia OPTIMA HYBRID,KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AS6,X,6.5,5.9,6.2,46,143
KIA OPTIMA HYBRID EX,Kia OPTIMA HYBRID EX,KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4,AS6,X,6.7,6,6.4,44,147
KIA RIO,Kia RIO,KIA,RIO,COMPACT,1.6,4,A6,X,8.7,6.3,7.6,37,175
KIA RIO ECO,Kia RIO ECO,KIA,RIO ECO,COMPACT,1.6,4,A6,X,8.5,6.4,7.6,37,175
KIA RONDO,Kia RONDO,KIA,RONDO,STATION WAGON - MID-SIZE,2,4,A6,X,10.5,7.5,9.2,31,212
KIA SEDONA,Kia SEDONA,KIA,SEDONA,MINIVAN,3.5,6,A6,X,13.7,9.9,12,24,276
KIA SORENTO,Kia SORENTO,KIA,SORENTO,SUV - SMALL,2.4,4,A6,X,11.8,8.5,10.3,27,237
KIA SORENTO 4WD,Kia SORENTO 4WD,KIA,SORENTO 4WD,SUV - SMALL,2.4,4,A6,X,12.3,9.3,11,26,253
KIA SOUL,Kia SOUL,KIA,SOUL,STATION WAGON - SMALL,1.6,4,A6,X,9.8,7.9,8.9,32,205
KIA SOUL ECO DYNAMICS,Kia SOUL ECO Dynamics,KIA,SOUL ECO Dynamics,STATION WAGON - SMALL,2,4,A6,X,9.7,7.8,8.8,32,202
KIA SPORTAGE,Kia SPORTAGE,KIA,SPORTAGE,SUV - SMALL,2.4,4,A6,X,11.4,8.3,10,28,230
KIA SPORTAGE AWD,Kia SPORTAGE AWD,KIA,SPORTAGE AWD,SUV - SMALL,2,4,A6,X,12.7,9.7,11.4,25,262
LAMBORGHINI AVENTADOR COUPE,Lamborghini AVENTADOR COUPE,LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,A7,Z,22.8,12.9,18.3,15,421
LAMBORGHINI GALLARDO COUPE,Lamborghini GALLARDO COUPE,LAMBORGHINI,GALLARDO COUPE,TWO-SEATER,5.2,10,A6,Z,18,12.8,15.7,18,361
LAND ROVER LR2,Land Rover LR2,LAND ROVER,LR2,SUV - SMALL,2,4,AS6,Z,13.5,9.9,11.9,24,274
LAND ROVER LR4,Land Rover LR4,LAND ROVER,LR4,SUV - STANDARD,3,6,AS8,Z,16.3,12.4,14.5,19,334
LAND ROVER RANGE ROVER EVOQUE,Land Rover RANGE ROVER EVOQUE,LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2,4,AS9,Z,11.3,7.9,9.8,29,225
LAND ROVER RANGE ROVER EVOQUE COUPE,Land Rover RANGE ROVER EVOQUE COUPE,LAND ROVER,RANGE ROVER EVOQUE COUPE,SUV - SMALL,2,4,AS9,Z,11.3,7.9,9.8,29,225
LAND ROVER RANGE ROVER LWB V8 5.0 SC,Land Rover RANGE ROVER LWB V8 5.0 SC,LAND ROVER,RANGE ROVER LWB V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,18,12.2,15.4,18,354
LAND ROVER RANGE ROVER LWB V8 5.0 SC FFV,Land Rover RANGE ROVER LWB V8 5.0 SC FFV,LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1,19,347
LAND ROVER RANGE ROVER SPORT V6 3.0 SC,Land Rover RANGE ROVER SPORT V6 3.0 SC,LAND ROVER,RANGE ROVER SPORT V6 3.0 SC,SUV - STANDARD,3,6,AS8,Z,14.2,10.2,12.4,23,285
LAND ROVER RANGE ROVER SPORT V6 3.0 SC FFV,Land Rover RANGE ROVER SPORT V6 3.0 SC FFV,LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,Z,14.2,10.2,12.4,23,285
LAND ROVER RANGE ROVER SPORT V8 5.0 SC,Land Rover RANGE ROVER SPORT V8 5.0 SC,LAND ROVER,RANGE ROVER SPORT V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,17.3,12.2,15,19,345
LAND ROVER RANGE ROVER SPORT V8 5.0 SC FFV,Land Rover RANGE ROVER SPORT V8 5.0 SC FFV,LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,16.6,12.3,14.7,19,338
LAND ROVER RANGE ROVER V6 3.0 SC,Land Rover RANGE ROVER V6 3.0 SC,LAND ROVER,RANGE ROVER V6 3.0 SC,SUV - STANDARD,3,6,AS8,Z,14.1,10.1,12.3,23,283
LAND ROVER RANGE ROVER V6 3.0 SC FFV,Land Rover RANGE ROVER V6 3.0 SC FFV,LAND ROVER,RANGE ROVER V6 3.0 SC FFV,SUV - STANDARD,3,6,AS8,Z,14.1,10.1,12.3,23,283
LAND ROVER RANGE ROVER V8 5.0 SC,Land Rover RANGE ROVER V8 5.0 SC,LAND ROVER,RANGE ROVER V8 5.0 SC,SUV - STANDARD,5,8,AS8,Z,18,12.2,15.4,18,354
LAND ROVER RANGE ROVER V8 5.0 SC FFV,Land Rover RANGE ROVER V8 5.0 SC FFV,LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5,8,AS8,Z,17.2,12.5,15.1,19,347
LEXUS CT 200H,Lexus CT 200h,LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.8,5.6,50,129
LEXUS ES 300H,Lexus ES 300h,LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.2,6,47,138
LEXUS ES 350,Lexus ES 350,LEXUS,ES 350,MID-SIZE,3.5,6,AS6,X,11.3,7.6,9.6,29,221
LEXUS GS 350,Lexus GS 350,LEXUS,GS 350,MID-SIZE,3.5,6,AS8,Z,12.1,8.3,10.4,27,239
LEXUS GS 350 AWD,Lexus GS 350 AWD,LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.5,9.1,11,26,253
LEXUS GS 450H,Lexus GS 450h,LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,7.7,7.4,7.6,37,175
LEXUS GX 460,Lexus GX 460,LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,15.7,11.8,13.9,20,320
LEXUS IS 250,Lexus IS 250,LEXUS,IS 250,COMPACT,2.5,6,AS6,Z,11.2,7.8,9.7,29,223
LEXUS IS 250 AWD,Lexus IS 250 AWD,LEXUS,IS 250 AWD,COMPACT,2.5,6,AS6,Z,11.8,8.7,10.4,27,239
LEXUS IS 250 C,Lexus IS 250 C,LEXUS,IS 250 C,SUBCOMPACT,2.5,6,AS6,Z,11.2,7.8,9.7,29,223
LEXUS IS 350,Lexus IS 350,LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.2,8.7,10.6,27,244
LEXUS IS 350 AWD,Lexus IS 350 AWD,LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.5,9.1,11,26,253
LEXUS IS 350 C,Lexus IS 350 C,LEXUS,IS 350 C,SUBCOMPACT,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
LEXUS IS F,Lexus IS F,LEXUS,IS F,SUBCOMPACT,5,8,AS8,Z,14.6,10.1,12.6,22,290
LEXUS LS 460,Lexus LS 460,LEXUS,LS 460,MID-SIZE,4.6,8,AS8,Z,14.5,9.6,12.3,23,283
LEXUS LS 460 AWD,Lexus LS 460 AWD,LEXUS,LS 460 AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,297
LEXUS LS 460 L AWD,Lexus LS 460 L AWD,LEXUS,LS 460 L AWD,MID-SIZE,4.6,8,AS8,Z,15.1,10.3,12.9,22,297
LEXUS LS 600H L,Lexus LS 600h L,LEXUS,LS 600h L,MID-SIZE,5,8,AV8,Z,12,10.7,11.4,25,262
LEXUS LX 570,Lexus LX 570,LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,18.8,13.6,16.5,17,380
LEXUS RX 350 AWD,Lexus RX 350 AWD,LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS6,X,13.3,9.8,11.7,24,269
LEXUS RX 450H AWD,Lexus RX 450h AWD,LEXUS,RX 450h AWD,SUV - SMALL,3.5,6,AV6,Z,7.9,8.6,8.2,34,189
LINCOLN MKS AWD,Lincoln MKS AWD,LINCOLN,MKS AWD,FULL-SIZE,3.5,6,AS6,X,13.7,9.4,11.8,24,271
LINCOLN MKT AWD,Lincoln MKT AWD,LINCOLN,MKT AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.4,12.8,22,294
LINCOLN MKT LIVERY,Lincoln MKT LIVERY,LINCOLN,MKT LIVERY,SPECIAL PURPOSE VEHICLE,2,4,AS6,X,11.5,8.5,10.2,28,235
LINCOLN MKT LIVERY AWD,Lincoln MKT LIVERY AWD,LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14,9.9,12.2,23,281
LINCOLN MKX AWD,Lincoln MKX AWD,LINCOLN,MKX AWD,SUV - SMALL,3.7,6,AS6,X,13.7,10.4,12.2,23,281
LINCOLN MKZ,Lincoln MKZ,LINCOLN,MKZ,MID-SIZE,2,4,AS6,X,10.5,7.1,9,31,207
LINCOLN MKZ AWD,Lincoln MKZ AWD,LINCOLN,MKZ AWD,MID-SIZE,3.7,6,AS6,X,13.1,9.3,11.4,25,262
LINCOLN MKZ HYBRID,Lincoln MKZ HYBRID,LINCOLN,MKZ HYBRID,MID-SIZE,2,4,AV,X,6.2,6.4,6.3,45,145
LINCOLN NAVIGATOR 4X4 FFV,Lincoln NAVIGATOR 4X4 FFV,LINCOLN,NAVIGATOR 4X4 FFV,SUV - STANDARD,5.4,8,A6,X,18.2,13.3,16,18,368
MASERATI GHIBLI,Maserati GHIBLI,MASERATI,GHIBLI,MID-SIZE,3,6,AS8,Z,15.2,9.6,12.7,22,292
MASERATI GHIBLI AWD,Maserati GHIBLI AWD,MASERATI,GHIBLI AWD,MID-SIZE,3,6,AS8,Z,15.2,9.6,12.7,22,292
MASERATI GRANTURISMO,Maserati GRANTURISMO,MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,347
MASERATI GRANTURISMO CONVERTIBLE,Maserati GRANTURISMO CONVERTIBLE,MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.7,15.3,18,352
MASERATI QUATTROPORTE GTS,Maserati QUATTROPORTE GTS,MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.6,10.7,14.5,19,334
MASERATI QUATTROPORTE SQ4,Maserati QUATTROPORTE SQ4,MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3,6,AS8,Z,15.9,9.7,13.1,22,301
MAZDA CX-5,Mazda CX-5,MAZDA,CX-5,SUV - SMALL,2,4,AS6,X,8.9,7.3,8.2,34,189
MAZDA CX-5 4WD,Mazda CX-5 4WD,MAZDA,CX-5 4WD,SUV - SMALL,2,4,AS6,X,9.3,7.6,8.5,33,196
MAZDA CX-9,Mazda CX-9,MAZDA,CX-9,SUV - SMALL,3.7,6,AS6,X,14.2,10,12.3,23,283
MAZDA CX-9 4WD,Mazda CX-9 4WD,MAZDA,CX-9 4WD,SUV - SMALL,3.7,6,AS6,X,14.3,10.6,12.6,22,290
MAZDA MAZDA2,Mazda MAZDA2,MAZDA,MAZDA2,COMPACT,1.5,4,A4,X,8.4,6.9,7.7,37,177
MAZDA MAZDA3 4-DOOR,Mazda MAZDA3 4-DOOR,MAZDA,MAZDA3 4-DOOR,COMPACT,2,4,AS6,X,7.9,5.7,6.9,41,159
MAZDA MAZDA3 4-DOOR (I-ELOOP),Mazda MAZDA3 4-DOOR (i-ELOOP),MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.3,6.1,7.3,39,168
MAZDA MAZDA3 4-DOOR (SIL),Mazda MAZDA3 4-DOOR (SIL),MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2,4,M6,X,8,5.8,7,40,161
MAZDA MAZDA3 5-DOOR,Mazda MAZDA3 5-DOOR,MAZDA,MAZDA3 5-DOOR,MID-SIZE,2,4,AS6,X,8,5.9,7.1,40,163
MAZDA MAZDA3 5-DOOR (I-ELOOP),Mazda MAZDA3 5-DOOR (i-ELOOP),MAZDA,MAZDA3 5-DOOR (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.2,6.1,7.3,39,168
MAZDA MAZDA3 5-DOOR (SIL),Mazda MAZDA3 5-DOOR (SIL),MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2,4,M6,X,8.2,5.9,7.2,39,166
MAZDA MAZDA5,Mazda MAZDA5,MAZDA,MAZDA5,MINIVAN,2.5,4,AS5,X,10.8,8.4,9.7,29,223
MAZDA MAZDA6,Mazda MAZDA6,MAZDA,MAZDA6,MID-SIZE,2.5,4,AS6,X,8.8,6.2,7.6,37,175
MAZDA MAZDA6 (I-ELOOP),Mazda MAZDA6 (i-ELOOP),MAZDA,MAZDA6 (i-ELOOP),MID-SIZE,2.5,4,AS6,X,8.4,5.9,7.3,39,168
MAZDA MX-5,Mazda MX-5,MAZDA,MX-5,TWO-SEATER,2,4,AS6,Z,11.5,8.5,10.2,28,235
MERCEDES-BENZ B 250,Mercedes-Benz B 250,MERCEDES-BENZ,B 250,STATION WAGON - SMALL,2,4,AS7,Z,9.2,6.6,8,35,184
MERCEDES-BENZ C 250,Mercedes-Benz C 250,MERCEDES-BENZ,C 250,COMPACT,1.8,4,AS7,Z,10.9,7.5,9.4,30,216
MERCEDES-BENZ C 250 COUPE,Mercedes-Benz C 250 COUPE,MERCEDES-BENZ,C 250 COUPE,SUBCOMPACT,1.8,4,AS7,Z,11,7.4,9.4,30,216
MERCEDES-BENZ C 300 4MATIC FFV,Mercedes-Benz C 300 4MATIC FFV,MERCEDES-BENZ,C 300 4MATIC FFV,COMPACT,3.5,6,AS7,Z,12.2,8.5,10.5,27,242
MERCEDES-BENZ C 350,Mercedes-Benz C 350,MERCEDES-BENZ,C 350,COMPACT,3.5,6,AS7,Z,12,8.6,10.5,27,242
MERCEDES-BENZ C 350 4MATIC,Mercedes-Benz C 350 4MATIC,MERCEDES-BENZ,C 350 4MATIC,COMPACT,3.5,6,AS7,Z,11.9,8.6,10.4,27,239
MERCEDES-BENZ C 350 4MATIC COUPE,Mercedes-Benz C 350 4MATIC COUPE,MERCEDES-BENZ,C 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.7,10.6,27,244
MERCEDES-BENZ C 350 COUPE,Mercedes-Benz C 350 COUPE,MERCEDES-BENZ,C 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,12.1,8.6,10.5,27,242
MERCEDES-BENZ C 63 AMG,Mercedes-Benz C 63 AMG,MERCEDES-BENZ,C 63 AMG,COMPACT,6.2,8,AS7,Z,17.7,11.9,15.1,19,347
MERCEDES-BENZ C 63 AMG COUPE,Mercedes-Benz C 63 AMG COUPE,MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8,AS7,Z,17.9,12.2,15.3,18,352
MERCEDES-BENZ CL 550 4MATIC,Mercedes-Benz CL 550 4MATIC,MERCEDES-BENZ,CL 550 4MATIC,COMPACT,4.7,8,AS7,Z,15.4,10.4,13.2,21,304
MERCEDES-BENZ CL 63 AMG,Mercedes-Benz CL 63 AMG,MERCEDES-BENZ,CL 63 AMG,COMPACT,5.5,8,AS7,Z,15.4,11,13.4,21,308
MERCEDES-BENZ CLA 250,Mercedes-Benz CLA 250,MERCEDES-BENZ,CLA 250,COMPACT,2,4,AS7,Z,9.1,6.2,7.8,36,179
MERCEDES-BENZ CLA 45 AMG 4MATIC,Mercedes-Benz CLA 45 AMG 4MATIC,MERCEDES-BENZ,CLA 45 AMG 4MATIC,COMPACT,2,4,AS7,Z,10.3,7.8,9.2,31,212
MERCEDES-BENZ CLS 550 4MATIC,Mercedes-Benz CLS 550 4MATIC,MERCEDES-BENZ,CLS 550 4MATIC,COMPACT,4.7,8,AS7,Z,13.3,9.4,11.5,25,264
MERCEDES-BENZ CLS 63 AMG 4MATIC,Mercedes-Benz CLS 63 AMG 4MATIC,MERCEDES-BENZ,CLS 63 AMG 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.7,13.1,22,301
MERCEDES-BENZ CLS 63 AMG S 4MATIC,Mercedes-Benz CLS 63 AMG S 4MATIC,MERCEDES-BENZ,CLS 63 AMG S 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.7,13.1,22,301
MERCEDES-BENZ E 250 BLUETEC 4MATIC,Mercedes-Benz E 250 BLUETEC 4MATIC,MERCEDES-BENZ,E 250 BLUETEC 4MATIC,MID-SIZE,2.1,4,AS7,D,8.5,5.7,7.2,39,194
MERCEDES-BENZ E 300 4MATIC,Mercedes-Benz E 300 4MATIC,MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.8,8.2,10.2,28,235
MERCEDES-BENZ E 350 4MATIC,Mercedes-Benz E 350 4MATIC,MERCEDES-BENZ,E 350 4MATIC,MID-SIZE,3.5,6,AS7,Z,11.6,8.1,10,28,230
MERCEDES-BENZ E 350 4MATIC COUPE,Mercedes-Benz E 350 4MATIC COUPE,MERCEDES-BENZ,E 350 4MATIC COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.9,8.5,10.4,27,239
MERCEDES-BENZ E 350 4MATIC WAGON,Mercedes-Benz E 350 4MATIC WAGON,MERCEDES-BENZ,E 350 4MATIC WAGON,STATION WAGON - MID-SIZE,3.5,6,AS7,Z,12.1,8.6,10.5,27,242
MERCEDES-BENZ E 350 CABRIOLET,Mercedes-Benz E 350 CABRIOLET,MERCEDES-BENZ,E 350 CABRIOLET,SUBCOMPACT,3.5,6,AS7,Z,12,8.5,10.4,27,239
MERCEDES-BENZ E 350 COUPE,Mercedes-Benz E 350 COUPE,MERCEDES-BENZ,E 350 COUPE,SUBCOMPACT,3.5,6,AS7,Z,11.9,8.2,10.2,28,235
MERCEDES-BENZ E 400 HYBRID,Mercedes-Benz E 400 HYBRID,MERCEDES-BENZ,E 400 HYBRID,MID-SIZE,3.5,6,AS7,Z,9.6,7.9,8.8,32,202
MERCEDES-BENZ E 550 4MATIC,Mercedes-Benz E 550 4MATIC,MERCEDES-BENZ,E 550 4MATIC,MID-SIZE,4.7,8,AS7,Z,13.6,9.1,11.6,24,267
MERCEDES-BENZ E 550 CABRIOLET,Mercedes-Benz E 550 CABRIOLET,MERCEDES-BENZ,E 550 CABRIOLET,SUBCOMPACT,4.7,8,AS7,Z,13.7,9.3,11.7,24,269
MERCEDES-BENZ E 550 COUPE,Mercedes-Benz E 550 COUPE,MERCEDES-BENZ,E 550 COUPE,SUBCOMPACT,4.7,8,AS7,Z,13.4,8.9,11.4,25,262
MERCEDES-BENZ E 63 AMG 4MATIC,Mercedes-Benz E 63 AMG 4MATIC,MERCEDES-BENZ,E 63 AMG 4MATIC,MID-SIZE,5.5,8,AS7,Z,15,10.3,12.9,22,297
MERCEDES-BENZ E 63 AMG 4MATIC WAGON,Mercedes-Benz E 63 AMG 4MATIC WAGON,MERCEDES-BENZ,E 63 AMG 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.5,11,13.5,21,310
MERCEDES-BENZ E 63 AMG S 4MATIC,Mercedes-Benz E 63 AMG S 4MATIC,MERCEDES-BENZ,E 63 AMG S 4MATIC,MID-SIZE,5.5,8,AS7,Z,15,10.3,12.9,22,297
MERCEDES-BENZ E 63 AMG S 4MATIC WAGON,Mercedes-Benz E 63 AMG S 4MATIC WAGON,MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.5,11,13.5,21,310
MERCEDES-BENZ G 550,Mercedes-Benz G 550,MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,20,15.9,18.2,16,419
MERCEDES-BENZ G 63 AMG,Mercedes-Benz G 63 AMG,MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,19.4,15.7,17.7,16,407
MERCEDES-BENZ GL 350 BLUETEC 4MATIC,Mercedes-Benz GL 350 BLUETEC 4MATIC,MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3,6,AS7,D,13.4,10.2,12,24,324
MERCEDES-BENZ GL 450 4MATIC,Mercedes-Benz GL 450 4MATIC,MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.1,12.8,15.2,19,350
MERCEDES-BENZ GL 550 4MATIC,Mercedes-Benz GL 550 4MATIC,MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.6,13.1,15.6,18,359
MERCEDES-BENZ GL 63 AMG,Mercedes-Benz GL 63 AMG,MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,17.7,13.4,15.8,18,363
MERCEDES-BENZ GLK 250 BLUETEC 4MATIC,Mercedes-Benz GLK 250 BLUETEC 4MATIC,MERCEDES-BENZ,GLK 250 BLUETEC 4MATIC,SUV - SMALL,2.1,4,AS7,D,9.6,7.1,8.5,33,230
MERCEDES-BENZ GLK 350 4MATIC,Mercedes-Benz GLK 350 4MATIC,MERCEDES-BENZ,GLK 350 4MATIC,SUV - SMALL,3.5,6,AS7,Z,12.6,9.6,11.3,25,260
MERCEDES-BENZ ML 350 4MATIC FFV,Mercedes-Benz ML 350 4MATIC FFV,MERCEDES-BENZ,ML 350 4MATIC FFV,SUV - STANDARD,3.5,6,AS7,Z,13.4,10.5,12.1,23,278
MERCEDES-BENZ ML 350 BLUETEC 4MATIC,Mercedes-Benz ML 350 BLUETEC 4MATIC,MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,SUV - STANDARD,3,6,AS7,D,11.8,8.5,10.3,27,278
MERCEDES-BENZ ML 550 4MATIC,Mercedes-Benz ML 550 4MATIC,MERCEDES-BENZ,ML 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,16.2,11.8,14.2,20,327
MERCEDES-BENZ ML 63 AMG 4MATIC,Mercedes-Benz ML 63 AMG 4MATIC,MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.2,13.5,15.5,18,356
MERCEDES-BENZ S 550 4MATIC LWB,Mercedes-Benz S 550 4MATIC LWB,MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,AS7,Z,14.3,9.5,12.1,23,278
MERCEDES-BENZ S 550 4MATIC SWB,Mercedes-Benz S 550 4MATIC SWB,MERCEDES-BENZ,S 550 4MATIC SWB,FULL-SIZE,4.7,8,AS7,Z,14.2,9.4,12,24,276
MERCEDES-BENZ S 63 AMG 4MATIC,Mercedes-Benz S 63 AMG 4MATIC,MERCEDES-BENZ,S 63 AMG 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.6,10.3,13.2,21,304
MERCEDES-BENZ SL 550,Mercedes-Benz SL 550,MERCEDES-BENZ,SL 550,TWO-SEATER,4.7,8,AS7,Z,13.4,9.6,11.7,24,269
MERCEDES-BENZ SL 63 AMG,Mercedes-Benz SL 63 AMG,MERCEDES-BENZ,SL 63 AMG,TWO-SEATER,5.5,8,AS7,Z,14.8,10.2,12.7,22,292
MERCEDES-BENZ SL 65 AMG,Mercedes-Benz SL 65 AMG,MERCEDES-BENZ,SL 65 AMG,TWO-SEATER,6,8,AS7,Z,16.7,11.2,14.2,20,327
MERCEDES-BENZ SLK 250,Mercedes-Benz SLK 250,MERCEDES-BENZ,SLK 250,TWO-SEATER,1.8,4,AS7,Z,10.3,7.2,8.9,32,205
MERCEDES-BENZ SLK 350,Mercedes-Benz SLK 350,MERCEDES-BENZ,SLK 350,TWO-SEATER,3.5,6,AS7,Z,11.1,8.1,9.8,29,225
MERCEDES-BENZ SLK 55 AMG,Mercedes-Benz SLK 55 AMG,MERCEDES-BENZ,SLK 55 AMG,TWO-SEATER,5.5,8,AS7,Z,12.3,8.7,10.7,26,246
MERCEDES-BENZ SLS AMG BLACK SERIES COUPE,Mercedes-Benz SLS AMG BLACK SERIES COUPE,MERCEDES-BENZ,SLS AMG BLACK SERIES COUPE,TWO-SEATER,6.2,8,AS7,Z,18.7,13.9,16.5,17,380
MERCEDES-BENZ SLS AMG GT COUPE,Mercedes-Benz SLS AMG GT COUPE,MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361
MERCEDES-BENZ SLS AMG ROADSTER,Mercedes-Benz SLS AMG ROADSTER,MERCEDES-BENZ,SLS AMG ROADSTER,TWO-SEATER,6.2,8,AS7,Z,18.2,12.6,15.7,18,361
MINI COOPER CLUBMAN,Mini COOPER CLUBMAN,MINI,COOPER CLUBMAN,SUBCOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
MINI COOPER CONVERTIBLE,Mini COOPER CONVERTIBLE,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,A6,Z,8.7,6.6,7.8,36,179
